user_search,Name,Price,Date,Location,daily,link,timestamp
iphone 15 pro,Silicone case magsafe iphone 15 pro black Original & Best offer,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 pro black,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Iphone 15 pro max 256gb,USD 999,6 days ago,"Dekwaneh, Metn",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 Pro clay Amazing & good offer,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 Pro clay,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 Pro Winter blue Exclusive & new offer,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 Pro Winter blue,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iPhone 15 pro 256 gb,USD 850,6 days ago,"Zouk Mikael, Keserouan",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 pro black Great & Last offer,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 pro black,USD 40,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Finewoven case magsafe iphone 15 pro Taupe,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Finewoven case magsafe iphone 15 pro Taupe Amazing & good offer,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Finewoven case magsafe iphone 15 pro Taupe,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Finewoven case magsafe iphone 15 pro Mulberry Exclusive & new offer,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Finewoven case magsafe iphone 15 pro Mulberry,USD 30,6 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Silicone case magsafe iphone 15 pro cypress Great & Last offer,USD 30,6 days ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Silicone case magsafe iphone 15 pro orange Original & Best offer,USD 30,6 days ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Silicone case magsafe iphone 15 pro orange,USD 30,6 days ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Finewoven case magsafe iphone 15 pro max mulberry Amazing & good offer,USD 30,6 days ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Finewoven case magsafe iphone 15 pro max mulberry,USD 30,6 days ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,050",6 days ago,"Haret Hreik, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15pro max 256G used 3 months,"USD 1,100",6 days ago,"Hazmiyeh, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro Max 256 GB Dual Sim Like New,"USD 1,150",6 days ago,"Ain El Remmaneh, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,080",1 week ago,"Burj Abi Haidar, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,IPhone 15 pro,USD 900Negotiable,1 week ago,"Aamchit, Jbeil•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 PRO 256GB,USD 930,1 week ago,"Tyre Town, Tyre•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max copy A,USD 120,1 week ago,"Tyre Town, Tyre•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro 256Gb - 2sim - Natural,USD 930,1 week ago,"Haret Hreik, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 Pro max 1 sim+ esim natural,USD 840,1 week ago,"Beirut Port, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 Pro Max 256 Navy Blue Titanium Color,"USD 1,050Negotiable",1 week ago,"Saydeh, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone xs max ( iPhone 15 pro max),USD 220,1 week ago,"Ras Beirut, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 Pro,"USD 900LL 81,000,000Negotiable",1 week ago,"Ain El Remmaneh, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 pro max 256g,USD 970,2 weeks ago,"Zalka, Metn•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 pro max 256Gb,"USD 1,100",2 weeks ago,"Verdun, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max 256g,USD 980,2 weeks ago,"New Rawda, Metn•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,whatsapp 03917466 iphone 15 PrO MaX New,"USD 1,050",2 weeks ago,"Barbir, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,USD 990,2 weeks ago,"Chiyah, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 pro max 256GB,"USD 1,150",2 weeks ago,"Ain El Remmaneh, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,040",2 weeks ago,"Hadath, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,150",2 weeks ago,"Adonis, Keserouan•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,IPhone 15 Pro Max 256Gb super clean in excellent condition,"USD 1,030",2 weeks ago,"Furn Al Chebak, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 pro,USD 710Negotiable,2 weeks ago,"Naameh, Chouf•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 pro max 256gb 2 sim Natural,USD 980,2 weeks ago,"Ghobeiry, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Used iPhone 15 Pro 256GB,"USD 1,050",2 weeks ago,"Other in Saida, Saida•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro 256gb Natural,USD 870,2 weeks ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro 256gb Battery 94% Like new مش مفكوك,USD 950,3 weeks ago,"Furn Al Chebak, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max 256gb limited warranty available,"USD 1,100",3 weeks ago,"Borj el Barajneh, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15pro 256,USD 950,3 weeks ago,"Nabatieh Town, Nabatieh•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Apple IPhone 15 Pro Max,USD 800Negotiable,3 weeks ago,"Mar Elias, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 pro max,"USD 1,050",3 weeks ago,"Haret Hreik, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iPhone 15 pro max open box,"USD 1,180",3 weeks ago,"Choueifat, Aley•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro 256Gb used,USD 950,3 weeks ago,"Hazmiyeh, Baabda•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro Max 256 GB Battery 96% with box,"USD 1,150",3 weeks ago,"Ain El Remmaneh, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro 128 gb,USD 860Negotiable,4 weeks ago,"Zoukak al Blat, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,100Negotiable",4 weeks ago,"Chiyah, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,IPHONE 15 PRO 128GB ESIM LIKE NEW 89% battery,USD 700,4 weeks ago,"Aabra, Saida•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,100Negotiable",4 weeks ago,"Badaro, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,iphone 15 pro max,"USD 1,100Negotiable",4 weeks ago,"Badaro, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 Pro (256 GB) Black Titanium,"USD 1,100",4 weeks ago,"Hamra, Beirut•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 pro max,"USD 1,070",4 weeks ago,"Tyre Town, Tyre•",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=2,2025-04-02 07:50:34
iphone 15 pro,Iphone 15 promax,"USD 1,130Negotiable",2 days ago,"Mar Elias, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=3,2025-04-02 07:50:52
iphone 15 pro,IPHONE 15PROMAX 512GB NEW,"USD 1,270",1 week ago,"Hazmiyeh, Baabda",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=3,2025-04-02 07:50:52
iphone 15 pro,ايفون 15 برو ماكس مع علبتو الأورجينال خطين مجمرك,"USD 1,000",4 weeks ago,"Derdghaiya, Tyre",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=3,2025-04-02 07:50:52
ps5,Brand New - Sony PlayStation 5 Console PS5 Slim Disc Edition – 1TB,USD 490,2 weeks ago,"Jounieh, Keserouan",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,ps5 slim 1tb europe,USD 520,1 week ago,"Zalka, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,Available ps4/ps5/nintendo-switch/xbox starting 150$,USD 150,3 days ago,"Dekwaneh, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,Vertical PS5 Stand with Cooling Fan & Dual Controller Charger Station,USD 21.89,2 weeks ago,"Hamra, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,UPS 2000VA - 1200W Uninterruptible Power Supply UPS - for PS5 & Screen,USD 89.89,21 hours ago,"Hamra, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,"ps4 pro 1tb open box,ps5 open box like new,controller used 2 days only","USD 1,100",6 days ago,"Hamra, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,logitech g923 on ps5-ps4-pc-ps3 (NEW sealed),USD 300,4 days ago,"Achrafieh, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,Fc24 ps5 ps4 xbox series x xbox one nintendo switch(New sealed),USD 40,4 days ago,"Achrafieh, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,Logitech G29 gaming steering wheel PS4 - PS5 - PC,USD 260,2 weeks ago,"Naccache, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,PlayStation 5 Edge & Pro Controllers,USD 190,5 days ago,"Tayouneh, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,Playstation 5 Fat 2 Joysticks Bundle,USD 535,2 weeks ago,"Hamra, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,all accessories for ps4 and ps5 cd controller,USD 20,8 hours ago,"Mkalles, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,ps5 portable Playstation,USD 235,10 hours ago,"Ain Al Tineh, Beirut",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,sony Ps5 control,USD 66,10 hours ago,"Batroun Town, Batroun",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,ps4 /ps5 super clean with warranty,USD 150,12 hours ago,"New Rawda, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
ps5,ps4 / ps5  starting 200$with warranty,USD 200,12 hours ago,"Dekwaneh, Metn",True,https://www.dubizzle.com.lb/ads/q-ps5//?page=1,2025-04-02 09:17:09
